scenario,query_id,role,strategy,policy_version,authorized_count,authorized_selectivity,lid,lid_scale_instability,relative_contrast,radius_expansion,policy_churn,embedding_drift,risk_score,recall_at_k,evidence_sufficient,unauthorized_candidates,unauthorized_context,shortfall,latency_ms,effort_proxy,selected,serving_cost,recall_target_met,evidence_basis,evidence_query_id,authorized_solution_exists,authorized_evidence_bundle_ids,complete_evidence_bundle_ids,answered,evidence_supported_emission,false_permit,false_denial
aligned,20,role-1,hnsw-high,aligned-v1,748,0.31166666666666665,8.442520356324726,0.2269813012159114,8.781329463418077,1.1366782875277965,0.0,0.0,0.16052296074386208,0.9,,0,0,0,0.08775,512,False,,True,unavailable,,,(),(),,,,
aligned,20,role-1,exact-authorized,aligned-v1,748,0.31166666666666665,8.442520356324726,0.2269813012159114,8.781329463418077,1.1366782875277965,0.0,0.0,0.16052296074386208,1.0,,0,0,0,0.0395,748,False,,True,unavailable,,,(),(),,,,
aligned,20,role-1,unsafe-unfiltered,aligned-v1,748,0.31166666666666665,8.442520356324726,0.2269813012159114,8.781329463418077,1.1366782875277965,0.0,0.0,0.16052296074386208,0.8,,0,0,0,0.042208,10,False,,False,unavailable,,,(),(),,,,
aligned,21,role-1,hnsw-low,aligned-v1,748,0.31166666666666665,8.859179813464175,0.15223611110941618,6.688558153174906,1.1486207339771348,0.0,0.0,0.14479767832820878,1.0,,0,0,0,0.0385,128,True,,True,unavailable,,,(),(),,,,
aligned,21,role-1,hnsw-high,aligned-v1,748,0.31166666666666665,8.859179813464175,0.15223611110941618,6.688558153174906,1.1486207339771348,0.0,0.0,0.14479767832820878,1.0,,0,0,0,0.087916,512,False,,True,unavailable,,,(),(),,,,
aligned,21,role-1,exact-authorized,aligned-v1,748,0.31166666666666665,8.859179813464175,0.15223611110941618,6.688558153174906,1.1486207339771348,0.0,0.0,0.14479767832820878,1.0,,0,0,0,0.04225,748,False,,True,unavailable,,,(),(),,,,
aligned,21,role-1,unsafe-unfiltered,aligned-v1,748,0.31166666666666665,8.859179813464175,0.15223611110941618,6.688558153174906,1.1486207339771348,0.0,0.0,0.14479767832820878,1.0,,0,0,0,0.03925,10,False,,True,unavailable,,,(),(),,,,
aligned,22,role-1,hnsw-low,aligned-v1,748,0.31166666666666665,8.752905964142919,0.1879853025488247,7.911654006795705,1.1617044528581257,0.0,0.0,0.1532249288175299,1.0,,0,0,0,0.037,128,True,,True,unavailable,,,(),(),,,,
aligned,22,role-1,hnsw-high,aligned-v1,748,0.31166666666666665,8.752905964142919,0.1879853025488247,7.911654006795705,1.1617044528581257,0.0,0.0,0.1532249288175299,1.0,,0,0,0,0.086709,512,False,,True,unavailable,,,(),(),,,,
aligned,22,role-1,exact-authorized,aligned-v1,748,0.31166666666666665,8.752905964142919,0.1879853025488247,7.911654006795705,1.1617044528581257,0.0,0.0,0.1532249288175299,1.0,,0,0,0,0.038,748,False,,True,unavailable,,,(),(),,,,
